[
[4,30,1,1,0.866667,inf,1.40625e-07,1.40625e-07],
[4,30,2,2,0.826087,4.90689,1.4375e-07,1.42188e-07],
[4,30,3,3,0.863636,3.0959,1.375e-07,1.40625e-07],
[4,30,4,4,0.975,2.45345,1.25e-07,1.36719e-07],
[4,30,5,5,1,2.11328,1.25e-07,1.34375e-07],
[4,30,10,10,1.13158,1.47712,1.1875e-07,1.31771e-07],
[4,30,20,20,0.948718,1.13535,1.21875e-07,1.30357e-07],
[4,30,50,30,0.974359,1,1.21875e-07,1.29297e-07],
[4,30,100,30,1.15152,1,1.03125e-07,1.26389e-07],
[4,30,200,30,0.603774,1,1.65625e-07,1.30313e-07],
[4,30,500,30,1.11111,1,1.125e-07,1.28693e-07],
[4,30,1000,30,0.571429,1,1.75e-07,1.32552e-07],
[4,30,30,30,0.904762,1,1.3125e-07,1.32452e-07],
[5,30,1,1,0.956522,inf,1.4375e-07,1.4375e-07],
[5,30,2,2,1.02273,4.90689,1.375e-07,1.40625e-07],
[5,30,3,3,0.956522,3.0959,1.4375e-07,1.41667e-07],
[5,30,4,4,0.977778,2.45345,1.40625e-07,1.41406e-07],
[5,30,5,5,1.02381,2.11328,1.3125e-07,1.39375e-07],
[5,30,10,10,0.956522,1.47712,1.4375e-07,1.40104e-07],
[5,30,20,20,1.04444,1.13535,1.40625e-07,1.40179e-07],
[5,30,50,30,0.956522,1,1.4375e-07,1.40625e-07],
[5,30,100,30,1.02326,1,1.34375e-07,1.39931e-07],
[5,30,200,30,0.977778,1,1.40625e-07,1.4e-07],
[5,30,500,30,1,1,1.40625e-07,1.40057e-07],
[5,30,1000,30,0.955556,1,1.40625e-07,1.40104e-07],
[5,30,30,30,0.977273,1,1.375e-07,1.39904e-07],
[6,30,1,1,0.744681,inf,1.46875e-07,1.46875e-07],
[6,30,2,2,0.820513,4.90689,1.21875e-07,1.34375e-07],
[6,30,3,3,0.886364,3.0959,1.375e-07,1.35417e-07],
[6,30,4,4,1.3125,2.45345,1e-07,1.26563e-07],
[6,30,5,5,0.972222,2.11328,1.125e-07,1.2375e-07],
[6,30,10,10,1.40625,1.47712,1e-07,1.19792e-07],
[6,30,20,20,0.581818,1.13535,1.71875e-07,1.27232e-07],
[6,30,50,30,1.07895,1,1.1875e-07,1.26172e-07],
[6,30,100,30,0.8,1,1.25e-07,1.26042e-07],
[6,30,200,30,1.29412,1,1.0625e-07,1.24063e-07],
[6,30,500,30,1,1,1.25e-07,1.24148e-07],
[6,30,1000,30,0.74,1,1.5625e-07,1.26823e-07],
